moneda,tasa,fecha_consulta
USD,1.0,2026-09-02
AED,3.6725,2026-09-02
AFN,65.131812,2026-09-02
ALL,79.594616,2026-09-02
AMD,364.280486,2026-09-02
ANG,1.79,2026-09-02
AOA,926.860561,2026-09-02
ARS,1512.7304,2026-09-02
AUD,1.399159,2026-09-02
AWG,1.79,2026-09-02
AZN,1.700179,2026-09-02
BAM,1.686921,2026-09-02
BBD,2.0,2026-09-02
BDT,122.692712,2026-09-02
BGN,1.686921,2026-09-02
BHD,0.376,2026-09-02
BIF,2993.411366,2026-09-02
BMD,1.0,2026-09-02
BND,1.273026,2026-09-02
BOB,11.879488,2026-09-02
BRL,5.176012,2026-09-02
BSD,1.0,2026-09-02
BTN,95.00455,2026-09-02
BWP,13.773889,2026-09-02
BYN,3.083177,2026-09-02
BZD,2.0,2026-09-02
CAD,1.389063,2026-09-02
CDF,2294.595327,2026-09-02
CHF,0.811346,2026-09-02
CLF,0.023644,2026-09-02
CLP,934.544536,2026-09-02
CNH,6.721436,2026-09-02
CNY,6.736913,2026-09-02
COP,3212.455939,2026-09-02
CRC,452.663874,2026-09-02
CUP,24.0,2026-09-02
CVE,95.104572,2026-09-02
CZK,20.856219,2026-09-02
DJF,177.721,2026-09-02
DKK,6.44792,2026-09-02
DOP,58.88938,2026-09-02
DZD,133.369911,2026-09-02
EGP,50.924246,2026-09-02
ERN,15.0,2026-09-02
ETB,161.438389,2026-09-02
EUR,0.862503,2026-09-02
FJD,2.20178,2026-09-02
FKP,0.739407,2026-09-02
FOK,6.44792,2026-09-02
GBP,0.739407,2026-09-02
GEL,2.619379,2026-09-02
GGP,0.739407,2026-09-02
GHS,11.266187,2026-09-02
GIP,0.739407,2026-09-02
GMD,75.040032,2026-09-02
GNF,8784.652183,2026-09-02
GTQ,7.632282,2026-09-02
GYD,209.231384,2026-09-02
HKD,7.841174,2026-09-02
HNL,26.854745,2026-09-02
HRK,6.498575,2026-09-02
HTG,130.700015,2026-09-02
HUF,317.075704,2026-09-02
IDR,17765.00147,2026-09-02
ILS,3.028186,2026-09-02
IMP,0.739407,2026-09-02
INR,95.000907,2026-09-02
IQD,1312.580395,2026-09-02
IRR,1341935.021279,2026-09-02
ISK,121.316816,2026-09-02
JEP,0.739407,2026-09-02
JMD,158.156896,2026-09-02
JOD,0.709,2026-09-02
JPY,160.113803,2026-09-02
KES,129.481429,2026-09-02
KGS,87.510167,2026-09-02
KHR,4041.533217,2026-09-02
KID,1.399157,2026-09-02
KMF,424.326688,2026-09-02
KRW,1373.777338,2026-09-02
KWD,0.308894,2026-09-02
KYD,0.833333,2026-09-02
KZT,458.328708,2026-09-02
LAK,22267.177721,2026-09-02
LBP,89500.0,2026-09-02
LKR,327.820174,2026-09-02
LRD,180.580205,2026-09-02
LSL,16.155252,2026-09-02
LYD,6.351788,2026-09-02
MAD,9.322699,2026-09-02
MDL,17.172614,2026-09-02
MGA,4323.551607,2026-09-02
MKD,52.773712,2026-09-02
MMK,2101.312221,2026-09-02
MNT,3613.623662,2026-09-02
MOP,8.076478,2026-09-02
MRU,40.161524,2026-09-02
MUR,47.061279,2026-09-02
MVR,15.449822,2026-09-02
MWK,1744.181597,2026-09-02
MXN,16.989881,2026-09-02
MYR,4.038398,2026-09-02
MZN,63.717003,2026-09-02
NAD,16.155252,2026-09-02
NGN,1332.607355,2026-09-02
NIO,36.802745,2026-09-02
NOK,9.328895,2026-09-02
NPR,152.007279,2026-09-02
NZD,1.696391,2026-09-02
OMR,0.384497,2026-09-02
PAB,1.0,2026-09-02
PEN,3.363681,2026-09-02
PGK,4.419413,2026-09-02
PHP,62.502524,2026-09-02
PKR,277.866264,2026-09-02
PLN,3.737382,2026-09-02
PYG,5911.578843,2026-09-02
QAR,3.64,2026-09-02
RON,4.534333,2026-09-02
RSD,101.206853,2026-09-02
RUB,86.793469,2026-09-02
RWF,1475.352392,2026-09-02
SAR,3.75,2026-09-02
SBD,7.916161,2026-09-02
SCR,13.936159,2026-09-02
SDG,449.295146,2026-09-02
SEK,9.608047,2026-09-02
SGD,1.273026,2026-09-02
SHP,0.739407,2026-09-02
SLE,24.61411,2026-09-02
SLL,24614.110256,2026-09-02
SOS,571.970658,2026-09-02
SRD,37.807784,2026-09-02
SSP,5850.740243,2026-09-02
STN,21.131474,2026-09-02
SYP,121.732885,2026-09-02
SZL,16.155252,2026-09-02
THB,33.259227,2026-09-02
TJS,9.229978,2026-09-02
TMT,3.500018,2026-09-02
TND,2.913915,2026-09-02
TOP,2.36755,2026-09-02
TRY,48.284406,2026-09-02
TTD,6.736098,2026-09-02
TVD,1.399157,2026-09-02
TWD,31.71834,2026-09-02
TZS,2640.70923,2026-09-02
UAH,44.443166,2026-09-02
UGX,3722.403408,2026-09-02
UYU,40.273499,2026-09-02
UZS,11816.904412,2026-09-02
VES,801.1752,2026-09-02
VND,26007.437228,2026-09-02
VUV,117.901299,2026-09-02
WST,2.678456,2026-09-02
XAF,565.768917,2026-09-02
XCD,2.7,2026-09-02
XCG,1.79,2026-09-02
XDR,0.730597,2026-09-02
XOF,565.768917,2026-09-02
XPF,102.924942,2026-09-02
YER,236.885626,2026-09-02
ZAR,16.155265,2026-09-02
ZMW,19.029604,2026-09-02
ZWG,26.7991,2026-09-02
ZWL,26.7991,2026-09-02
