fecha,region,categoria,canal,cantidad,precio_unitario,metodo_pago,cliente_id,venta_total,descuento_porcentaje,descuento_monto,venta_neta,satisfaccion
2024-04-12,Valparaíso,Ropa,Tienda Física,5,116470.80620456826,Tarjeta Débito,1759,582354.0310228413,11.7981812521997,68707.1841095661,513646.84691327525,3.0
2024-12-14,Antofagasta,Ropa,Tienda Física,7,43510.201754567184,Tarjeta Débito,2590,304571.41228197026,13.309224908218505,40536.09426674486,264035.3180152254,5.0
2024-09-27,Metropolitana,Ropa,Tienda Física,2,116248.84215308733,Transferencia,4987,232497.68430617466,5.415959562564695,12591.980565921744,219905.7037402529,3.0
2024-04-16,Metropolitana,Electrónica,E-commerce,5,34853.660061156916,Tarjeta Débito,3768,174268.30030578456,5.231106684677922,9116.160706570492,165152.13959921408,4.0
2024-03-12,Metropolitana,Electrónica,E-commerce,3,51644.52346168986,Tarjeta Crédito,4088,154933.5703850696,8.730070998785607,13525.810695570046,141407.75968949954,4.0
2024-07-07,Metropolitana,Alimentos,Tienda Física,9,72495.6110037564,Efectivo,3115,652460.4990338077,6.487882838491529,42330.87274475059,610129.6262890571,3.0
2024-01-21,Metropolitana,Ropa,Tienda Física,6,141763.39820555036,Efectivo,1132,850580.3892333021,10.583844775702218,90024.10808901643,760556.2811442857,2.0
2024-04-12,Valparaíso,Electrónica,Tienda Física,3,140101.0565893046,Transferencia,2723,420303.16976791376,14.173489015067489,59571.623597035716,360731.54617087805,3.0
2024-05-01,Biobío,Alimentos,Tienda Física,7,34996.42193623173,Tarjeta Débito,3966,244974.95355362212,8.914797303340158,21839.02055325711,223135.933000365,3.0
2024-08-02,Metropolitana,Electrónica,E-commerce,4,56941.760980245555,Tarjeta Débito,1429,227767.04392098222,13.449503772726041,30633.53716517908,197133.50675580313,4.0
2024-11-26,Valparaíso,Ropa,E-commerce,3,26662.911325796988,Transferencia,3355,79988.73397739096,2.6616530129355134,2129.022547918199,77859.71142947277,2.0
2024-03-28,Metropolitana,Electrónica,E-commerce,8,78947.83650045708,Efectivo,3697,631582.6920036566,5.0024087451786645,31594.34781782575,599988.3441858309,3.0
2024-04-09,Metropolitana,Alimentos,E-commerce,4,71784.46985072666,Tarjeta Crédito,2197,287137.87940290663,6.685146434591842,19195.587707266037,267942.2916956406,3.0
2024-12-25,Valparaíso,Ropa,E-commerce,1,135610.2235553562,Tarjeta Débito,3459,135610.2235553562,5.304235396540856,7193.08547915139,128417.13807620482,3.0
2024-05-31,Araucanía,Electrónica,Tienda Física,6,139850.77977970554,Transferencia,1096,839104.6786782332,8.281471805150687,69490.21738043816,769614.4612977951,3.0
2024-05-10,Metropolitana,Alimentos,Tienda Física,1,60617.27169605735,Tarjeta Crédito,2706,60617.27169605735,0.0,0.0,60617.27169605735,5.0
2024-05-29,Valparaíso,Hogar,Tienda Física,5,76302.00173775347,Transferencia,2177,381510.0086887673,14.081895956965027,53723.84248896045,327786.16619980684,5.0
2024-11-04,Metropolitana,Hogar,Telefónico,7,134954.2561261893,Transferencia,2718,944679.7928833251,5.969521235989878,56392.86084827528,888286.9320350499,3.0
2024-09-14,Araucanía,Electrónica,Tienda Física,6,121972.63212303391,Transferencia,2265,731835.7927382034,11.064097767438003,80971.02760565978,650864.7651325436,5.0
2024-12-09,Biobío,Hogar,Tienda Física,2,5530.165144974145,Efectivo,2327,11060.33028994829,0.0,0.0,11060.33028994829,5.0
2024-10-20,Biobío,Electrónica,E-commerce,4,51408.63680661946,Efectivo,2308,205634.54722647785,9.514959391194441,19566.043662865923,186068.50356361194,4.0
2024-07-10,Metropolitana,Ropa,Telefónico,2,66157.26508073826,Transferencia,2050,132314.53016147652,14.384682123658125,19033.02456714015,113281.50559433637,
2024-10-03,Antofagasta,Alimentos,E-commerce,1,38308.8611340686,Tarjeta Débito,4473,38308.8611340686,1.4614508635462657,559.8651818585853,37748.99595221001,2.0
2024-06-09,Metropolitana,Ropa,Tienda Física,3,33937.88430491112,Tarjeta Crédito,2383,101813.65291473335,6.225191425370938,6338.094791104909,95475.55812362843,1.0
2024-11-09,Metropolitana,Electrónica,Tienda Física,3,10478.753456373552,Tarjeta Débito,4131,31436.260369120653,0.0,0.0,31436.260369120653,5.0
2024-01-22,Valparaíso,Electrónica,Tienda Física,7,98288.61013511528,Efectivo,3249,688020.270945807,7.12027850502229,48988.959462350416,639031.3114834565,1.0
2024-09-09,Metropolitana,Electrónica,Tienda Física,1,43063.99212005902,Tarjeta Crédito,3809,43063.99212005902,0.0,0.0,43063.99212005902,5.0
2024-08-23,Antofagasta,Hogar,Tienda Física,9,12590.340872540397,Transferencia,3921,113313.06785286358,5.295419686114933,6000.402502021309,107312.66535084226,1.0
2024-12-10,Araucanía,Alimentos,Tienda Física,6,38492.00002656923,Tarjeta Débito,1580,230952.00015941536,9.339352496313737,21569.421392174863,209382.57876724048,1.0
2024-02-18,Metropolitana,Electrónica,Telefónico,4,121277.52316123835,Tarjeta Débito,3417,485110.0926449534,,37733.45899701022,447376.6336479432,3.0
2024-02-28,Biobío,Alimentos,Tienda Física,3,128465.93133874926,Transferencia,1532,385397.7940162478,13.69905933890321,52795.87249310975,332601.92152313807,1.0
2024-06-18,Antofagasta,Alimentos,E-commerce,3,75044.60555302889,Tarjeta Débito,2175,225133.81665908667,11.04940813197755,24875.954245760553,200257.86241332613,5.0
2024-07-06,Antofagasta,Ropa,E-commerce,2,65330.2472092595,Efectivo,2125,130660.494418519,11.140907379757017,14556.764665099789,116103.7297534192,3.0
2024-09-27,Biobío,Alimentos,Tienda Física,2,146788.78555775835,Transferencia,1898,293577.5711155167,10.319106968813024,30294.583599853297,263282.98751566344,1.0
2024-07-08,Antofagasta,Ropa,E-commerce,5,34081.87564027014,Tarjeta Débito,3654,170409.3782013507,5.91850337229201,10085.684795548785,160323.6934058019,3.0
2024-06-23,Antofagasta,Ropa,Tienda Física,9,36227.09601391823,Transferencia,2469,326043.86412526405,9.450186837253552,30811.75433123856,295232.1097940255,4.0
2024-02-20,Araucanía,Ropa,Tienda Física,2,47320.74067027796,Tarjeta Crédito,3920,94641.48134055593,0.0,0.0,94641.48134055593,3.0
2024-12-29,Metropolitana,Ropa,E-commerce,2,30049.81115075766,Transferencia,2252,60099.62230151532,3.278886508920901,1970.5984075568028,58129.02389395852,5.0
2024-02-24,Valparaíso,Electrónica,Tienda Física,6,60008.01173960706,Tarjeta Débito,4196,360048.07043764234,14.995051897085165,53989.39501657822,306058.67542106414,4.0
2024-08-31,Araucanía,Hogar,Telefónico,2,137070.9629135143,Efectivo,1769,274141.9258270286,13.352292908460148,36604.23292131841,237537.69290571017,3.0
2024-11-15,Metropolitana,Hogar,Tienda Física,4,94225.43689114327,Transferencia,1833,376901.7475645731,13.93459054167116,52519.71526752631,324382.03229704674,5.0
2024-05-10,Araucanía,Ropa,E-commerce,6,64732.24954877823,Transferencia,4046,388393.4972926694,13.232263592464994,51393.2513377594,337000.24595490994,5.0
2024-11-02,Metropolitana,Electrónica,Tienda Física,5,140489.56521282616,Tarjeta Débito,2904,702447.8260641308,6.030416934309827,42360.532657662574,660087.2934064682,5.0
2024-05-14,Metropolitana,Deportes,Tienda Física,1,12027.313708994236,Efectivo,3985,12027.313708994236,0.0,0.0,12027.313708994236,2.0
2024-01-21,Valparaíso,Alimentos,Tienda Física,6,35490.045795769896,Efectivo,3283,212940.27477461938,7.2744825406479965,15490.303110487555,197449.97166413182,4.0
2024-11-24,Metropolitana,Hogar,E-commerce,1,87053.84773975505,Tarjeta Crédito,3209,87053.84773975505,3.208099993572045,2792.7744837432997,84261.07325601175,3.0
2024-06-15,Antofagasta,Electrónica,E-commerce,3,94255.13036301098,Tarjeta Crédito,1553,282765.3910890329,5.031216513564097,14226.539051115526,268538.8520379174,4.0
2024-09-30,Araucanía,Alimentos,E-commerce,5,10735.838451578906,Tarjeta Débito,3835,53679.19225789453,1.0474311135979986,562.2525612372754,53116.93969665725,5.0
2024-03-29,Araucanía,Alimentos,Tienda Física,5,63440.61989653417,Efectivo,4424,317203.09948267083,8.035101248781114,25487.59020770448,291715.5092749664,3.0
2024-11-11,Biobío,Alimentos,E-commerce,6,99127.32490047655,Efectivo,2091,594763.9494028593,6.086074023464926,36197.7742255415,558566.1751773178,5.0
2024-01-14,Metropolitana,Hogar,E-commerce,8,106220.22922849323,Tarjeta Crédito,2196,849761.8338279459,9.72793345301583,82664.26570390954,767097.5681240363,3.0
2024-08-29,Valparaíso,Hogar,E-commerce,5,97530.28586485905,Tarjeta Crédito,4914,487651.42932429526,11.771274885739018,57402.79022999812,430248.63909429713,1.0
2024-09-21,Biobío,Electrónica,Tienda Física,1,51481.66753233406,Tarjeta Débito,2660,51481.66753233406,0.0,0.0,51481.66753233406,2.0
2024-12-11,Valparaíso,Electrónica,E-commerce,5,18560.417921696877,Efectivo,4753,92802.08960848438,0.15198707405763068,141.04718066027596,92661.04242782411,4.0
2024-02-22,Metropolitana,Alimentos,E-commerce,3,66931.30473080344,Transferencia,1558,200793.91419241033,13.74505295038077,27599.229826888928,173194.68436552142,4.0
2024-12-05,Valparaíso,Alimentos,Tienda Física,4,23669.393418368043,Tarjeta Crédito,1260,94677.57367347217,0.0,0.0,94677.57367347217,5.0
2024-04-01,Valparaíso,Ropa,E-commerce,8,142405.43048549673,Tarjeta Débito,3264,1139243.4438839739,12.492171650908983,142316.24653171297,996927.1973522609,2.0
2024-09-20,Antofagasta,Alimentos,E-commerce,7,73899.77557328109,Efectivo,2840,517298.4290129676,14.385855957785052,74417.80686969048,442880.62214327714,2.0
2024-02-04,Antofagasta,Ropa,Tienda Física,5,51002.580281745795,Efectivo,2147,255012.90140872897,5.538982903937888,14125.121011865478,240887.7803968635,4.0
2024-07-24,Valparaíso,Ropa,Tienda Física,2,116114.09031224051,Tarjeta Crédito,1804,232228.18062448103,5.121798354165414,11894.259133132955,220333.92149134807,2.0
2024-03-21,Biobío,Hogar,Tienda Física,6,77202.54592442827,Tarjeta Débito,2185,463215.2755465696,11.613381138362126,53794.955440337464,409420.32010623213,2.0
